2022-01-18/12:43:22		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/12:46:37		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/12:46:40		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/17:10:58		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/17:11:00		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/17:12:53		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/17:12:55		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/17:18:00		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/17:18:02		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/18:46:11		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/18:46:13		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/19:00:07		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/19:00:09		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/20:19:26		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/20:19:28		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/20:37:56		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/20:37:58		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/20:46:29		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/20:46:31		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/21:08:53		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/21:08:55		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/22:54:06		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/22:54:12		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-18/23:34:41		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-18/23:34:43		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-24/14:14:19		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-24/14:14:21		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-24/14:21:01		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-24/14:21:03		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-24/14:34:15		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-24/14:34:17		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-25/13:00:23		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-25/13:00:25		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-25/13:03:06		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-25/13:03:08		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-25/13:42:37		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-25/13:42:40		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-25/14:17:21		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-25/14:17:22		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-25/15:14:47		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-25/15:14:50		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-25/15:42:08		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-25/15:42:10		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
2022-01-25/16:01:51		In apply_all_processing_on_train_test_data method in DataProcessing class: Started data processing
2022-01-25/16:01:55		In apply_all_processing_on_train_test_data method in DataProcessing class: data processing completed
